New York|(JFK, LGA, EWR)
Los Angeles|(LAX)
Chicago|(ORD, MDW)
Houston|(IAH)
Philadelphia|(PHL)
San Francisco|(SFO)
Charlotte|(CLT)
Boston|(BOS)
Seattle|(SEA)
Denver|(DEN)
Nashville|(BNA)
Washington DC|(IAD, DCA)
Miami|(MIA)
Las Vegas|(LAS)
New Orleans|(MSY)
Orlando|(MCO)
Tampa|(TPA)
Anchorage|(ANC)
San Juan|(SJU)
Acadia National Park|(BHB, BOS)
Big Sur|(MRY, SJC, SFO)
Breckenridge|(EGE, DEN)
Charleston|(CHS)
Custer State Park|(RAP)
Glacier National Park|(FCA)
Grand Canyon|(FLG, LAS)
Great Smoky Mountains National Park|(TYS, AVL)
Jackson Hole|(JAC)
Key West|(EYW)
Lake Tahoe|(RNO, TVL)
Mackinac Island|(MCD, PLN)
Maui|(OGG)
Mount Rushmore|(RAP)
Myrtle Beach|(MYR)
Napa Valley|(SFO, OAK, SMF)
Santa Fe|(SAF, ABQ)
Savannah|(SAV)
St. Augustine|(JAX, SFB)
Telluride|(MTJ, DRO)
Yellowstone National Park|(BOZ, JAC)
Yosemite National Park|(FAT, SJC)
Zion National Park|(SGU, LAS)
Amsterdam|(AMS)
Aruba Island|(AUA)
Athens|(ATH)
Auckland|(AKL)
Bali|(DPS)
Barcelona|(BCN)
Beijing|(PEK)
Berlin|(BER)
Buenos Aires|(EZE)
Cabo San Lucas|(SJD)
Cairo|(CAI)
Cancun|(CUN)
Cape Town|(CPT)
Copenhagen|(CPH)
Dubai|(DXB)
Dublin|(DUB)
Edinburgh|(EDI)
Hanoi|(HAN)
Hong Kong|(HKG)
Istanbul|(IST)
Jerusalem|(TLV)
Lima|(LIM)
London|(LHR)
Madrid|(MAD)
Mexico City|(MEX)
Montego Bay|(MBJ)
Montreal|(YUL)
Mumbai|(BOM)
Oslo|(OSL)
Panama City|(PTY)
Paris|(CDG)
Phuket|(HKT)
Prague|(PRG)
Reykjavik|(KEF)
Rio de Janeiro|(GIG)
Rome|(FCO)
Santiago|(SCL)
Seoul|(ICN)
Shanghai|(PVG)
Singapore|(SIN)
Split|(SPU)
Stockholm|(ARN)
Sydney|(SYD)
Tokyo|(NRT, HND)
Toronto|(YYZ)
Vancouver|(YVR)
Vienna|(VIE)
Zurich|(ZRH)
